Timestamp,Encoder Angle DXL1 (degrees),Encoder Angle DXL2 (degrees)
1728832277.4131317,150.06593406593407,148.83516483516482
1728832279.442137,150.6813186813187,148.83516483516482
1728832281.4736779,151.64835164835165,148.9230769230769
1728832283.5023134,152.6153846153846,148.83516483516482
1728832285.542829,153.67032967032966,148.83516483516482
1728832287.570207,154.72527472527474,148.83516483516482
1728832289.5947456,155.6923076923077,148.83516483516482
1728832291.6346729,156.65934065934067,148.83516483516482
1728832293.6655028,157.62637362637363,148.83516483516482
1728832295.692833,158.6813186813187,148.83516483516482
1728832297.7216814,159.73626373626374,148.83516483516482
1728832299.7476826,160.7032967032967,148.83516483516482
1728832301.7859032,161.75824175824175,148.83516483516482
1728832303.8136065,162.72527472527472,148.83516483516482
1728832305.841711,163.69230769230768,148.83516483516482
1728832307.875588,164.74725274725273,148.83516483516482
1728832309.9078774,165.7142857142857,148.83516483516482
1728832311.9481344,166.76923076923077,148.83516483516482
1728832313.9789824,167.73626373626374,148.83516483516482
1728832316.0021856,168.7032967032967,148.83516483516482
1728832318.0330625,169.75824175824175,148.83516483516482
1728832320.0657828,170.72527472527472,148.83516483516482
1728832322.1061013,171.7802197802198,148.83516483516482
1728832324.130689,172.83516483516485,148.83516483516482
1728832326.166315,173.8021978021978,148.83516483516482
1728832328.1858115,174.85714285714286,148.83516483516482
1728832330.225808,175.82417582417582,148.83516483516482
1728832332.2512274,176.7912087912088,148.83516483516482
1728832334.281545,177.93406593406593,148.83516483516482
1728832336.32073,178.8131868131868,148.9230769230769
1728832340.3530588,165.7142857142857,149.8021978021978
1728832342.3792663,151.12087912087912,149.8021978021978
1728832344.403466,151.64835164835165,149.8021978021978
1728832346.4417236,152.6153846153846,149.8021978021978
1728832348.4659576,153.67032967032966,149.8021978021978
1728832350.5063357,154.72527472527474,149.8021978021978
1728832352.5287423,155.6923076923077,149.8021978021978
1728832354.5722408,156.74725274725276,149.8021978021978
1728832356.5939386,157.62637362637363,149.8021978021978
1728832358.631613,158.6813186813187,149.8021978021978
1728832360.6577406,159.73626373626374,149.8021978021978
1728832362.6967483,160.7032967032967,149.8021978021978
1728832364.7206628,161.75824175824175,149.8021978021978
1728832366.760504,162.72527472527472,149.8021978021978
1728832368.7858245,163.69230769230768,149.8021978021978
1728832370.8092985,164.74725274725273,149.8021978021978
1728832372.8476572,165.7142857142857,149.8021978021978
1728832374.8813362,166.76923076923077,149.8021978021978
1728832376.9160545,167.73626373626374,149.8021978021978
1728832378.9417484,168.7032967032967,149.8021978021978
1728832380.9771788,169.75824175824175,149.8021978021978
1728832383.0005403,170.72527472527472,149.8021978021978
1728832385.037695,171.7802197802198,149.8021978021978
1728832387.0643384,172.83516483516485,149.8021978021978
1728832389.0886257,173.8021978021978,149.8021978021978
1728832391.1290946,174.85714285714286,149.8021978021978
1728832393.164177,175.82417582417582,149.8021978021978
1728832395.1924365,176.7912087912088,149.8021978021978
1728832397.2164662,177.84615384615387,149.8021978021978
1728832399.2548904,178.8131868131868,149.8021978021978
1728832403.289939,165.7142857142857,150.76923076923077
1728832405.3125324,151.12087912087912,150.85714285714286
1728832407.3374414,151.64835164835165,150.85714285714286
1728832409.376826,152.6153846153846,150.85714285714286
1728832411.4149373,153.67032967032966,150.85714285714286
1728832413.4333396,154.72527472527474,150.85714285714286
1728832415.464594,155.6923076923077,150.85714285714286
1728832417.503815,156.65934065934067,150.85714285714286
1728832419.5338519,157.62637362637363,150.85714285714286
1728832421.5683043,158.76923076923077,150.85714285714286
1728832423.5925272,159.73626373626374,150.85714285714286
1728832425.6321013,160.7032967032967,150.85714285714286
1728832427.6611688,161.67032967032966,150.85714285714286
1728832429.6958134,162.72527472527472,150.85714285714286
1728832431.7128215,163.69230769230768,150.94505494505495
1728832433.758768,164.74725274725273,150.94505494505495
1728832435.7849734,165.7142857142857,150.94505494505495
1728832437.8153045,166.76923076923077,150.94505494505495
1728832439.8487663,167.73626373626374,150.94505494505495
1728832441.8689573,168.7032967032967,150.94505494505495
1728832443.910791,169.75824175824175,150.94505494505495
1728832445.935349,170.72527472527472,150.94505494505495
1728832447.975315,171.7802197802198,150.94505494505495
1728832449.9989727,172.83516483516485,150.94505494505495
1728832452.039335,173.8021978021978,150.94505494505495
1728832454.0645144,174.85714285714286,150.94505494505495
1728832456.087498,175.82417582417582,150.94505494505495
1728832458.1274977,176.7912087912088,150.94505494505495
1728832460.1556673,177.84615384615387,150.94505494505495
1728832462.1826746,178.8131868131868,150.94505494505495
1728832466.2245162,165.7142857142857,151.82417582417582
1728832468.2482731,151.12087912087912,151.82417582417582
1728832470.2869332,151.73626373626374,151.82417582417582
1728832472.3106315,152.6153846153846,151.82417582417582
1728832474.349009,153.67032967032966,151.82417582417582
1728832476.371796,154.72527472527474,151.82417582417582
1728832478.403147,155.6923076923077,151.82417582417582
1728832480.4389927,156.65934065934067,151.82417582417582
1728832482.4749744,157.62637362637363,151.82417582417582
1728832484.497541,158.76923076923077,151.82417582417582
1728832486.5241718,159.73626373626374,151.82417582417582
1728832488.5675683,160.7032967032967,151.82417582417582
1728832490.5896187,161.75824175824175,151.82417582417582
1728832492.6306694,162.72527472527472,151.82417582417582
1728832494.6554756,163.69230769230768,151.82417582417582
1728832496.6884613,164.74725274725273,151.82417582417582
1728832498.7132194,165.7142857142857,151.73626373626374
1728832500.7427902,166.76923076923077,151.82417582417582
1728832502.77505,167.73626373626374,151.82417582417582
1728832504.8166995,168.7032967032967,151.82417582417582
1728832506.8531442,169.75824175824175,151.82417582417582
1728832508.8698988,170.72527472527472,151.82417582417582
1728832510.905551,171.7802197802198,151.82417582417582
1728832512.9421918,172.83516483516485,151.82417582417582
1728832514.9693315,173.71428571428572,151.82417582417582
1728832517.0010478,174.85714285714286,151.82417582417582
